order_id,customer_id,order_status,order_date,items_total,payments_total
a5875ee134166b373cc08cbea838760c,c55a6a8fb09446878f0ec7d78a1471b8,delivered,"2018-08-24 14:30:31",57.99,3.00
ee9e4a1d1929cc2d8d2f8c2a1cb3cea6,282c9df81d9e83eb605bc3804a262266,delivered,"2018-08-24 14:28:38",69.48,1.00
e1618c8576ca46d8e460cd2219eb2750,d9f8b4df596e82db51bcdbd9fc7fe0d3,delivered,"2018-08-24 14:26:53",69.70,1.00
cdc0adbdd9628dea5d7fb2032fd66c69,91f4ef78634a635fcf720e4308814c97,delivered,"2018-08-24 14:24:45",82.09,1.00
bc60b588a732fb42a8145a501c6a61d2,d71c6edfaf2850bafce5d8a655d34413,delivered,"2018-08-24 14:09:35",107.79,6.00
421deffec215845f8632fb3543789f86,07d32200708d263fc5006988e4b6eff7,delivered,"2018-08-24 14:05:59",103.69,1.00
478116017852df9d1ac392abcf28927f,ecd37231a9052d49db278a6b92d28054,delivered,"2018-08-24 13:59:41",60.65,1.00
05dc8285104a0f76f6e8d6b2ff9417b2,608504ddaf7e677eec291b124ab24093,delivered,"2018-08-24 13:38:56",144.59,10.00
8aa3fb1aeacb5920cedf4f8adab84b9d,2a2a72fc4ba566b8ef03e798c723e9ab,delivered,"2018-08-24 13:33:02",87.79,1.00
0091a677651feaf5a08d7bb147681e14,93d82c58a8f2b0d2db80f16867b99edd,delivered,"2018-08-24 13:27:17",45.53,1.00
baa821bd1dbd5c6d31c9b1c68f760b8b,cc3f0f9c25480b83c834bf8af1435a29,delivered,"2018-08-24 13:23:32",71.10,3.00
33a3567a036169435a622361c5d3b79e,4b05dcf5667f512fe23847c483db080d,delivered,"2018-08-24 13:05:30",89.62,1.00
cf5c8d9f52807cb2d2f0a0ff54c478da,e898b5ef24833b9cb9e2d4f00b937595,delivered,"2018-08-24 13:04:05",217.18,2.00
d18585adacf5dc420841dfb67243a224,cb51e319e8c3bcea224283ec1cbad11f,delivered,"2018-08-24 12:41:33",59.00,1.00
b095ce1bfaa02fb7b9e58c39b30c4ae3,ad55d9bcb0f228522867e22a73cbb7ec,delivered,"2018-08-24 12:02:28",57.97,1.00
622f616838747771f377b27f47f2d21a,4d5de06dc8934e25f9508d604dba6b6b,delivered,"2018-08-24 12:02:22",110.04,1.00
326f84ca831c054450d6e1999b80daaf,1dc39ef0968a2aa4522c242710d45c81,delivered,"2018-08-24 11:54:56",45.78,1.00
f9f88b0c2d64a8b36cbf24b1b35cd3d9,1ae40a96bc36242cdcd3c6996845dbf2,delivered,"2018-08-24 11:51:09",144.78,1.00
59d7a8119bf89c6444ae76a6cf2f9479,166b36fe485b3846aaec4fb96544b7b5,delivered,"2018-08-24 11:44:39",162.06,2.00
aff32bb12b83b30724cae766b0270c64,b449a237ced28dd8fc749aef0d4d4037,delivered,"2018-08-24 11:43:17",199.07,6.00
ae00cdde0e6aeef54ffc9a826d1af282,61a3618acdd8ed6782365c61daa8c0da,delivered,"2018-08-24 11:17:45",286.18,5.00
7731a91dd46b3556ca99d3b3c34373ef,da368717541c43ca6570eec6f9efa1b8,delivered,"2018-08-24 11:14:21",275.45,4.00
71f78dbe56e4ceb4b7ce394fb6de8f15,1414a515ad96f8644b1b207cb04929d1,delivered,"2018-08-24 11:09:05",31.59,3.00
ae0c769d416e6948678cba4fdf4f43c9,1574b16e8e6a5235d905777c2cfd2b95,delivered,"2018-08-24 11:01:09",97.65,1.00
9a58639b7ba6a6e4983d68f50694f34f,2276bc8327dd51ddcadeb3e17b6a30bb,delivered,"2018-08-24 10:49:21",67.58,1.00
75a7d0a8a9a12e7b866362cb26d536be,7a89b15bf8829df6c7177436d09aa9af,delivered,"2018-08-24 10:48:37",360.48,9.00
8118e88205b0cd1342e85368ed6c0bcf,23c6ca6150d5e6f0bd50b6fd7ac82aeb,delivered,"2018-08-24 10:46:25",188.41,3.00
3aee056d5b3555ca96a8090761a712b6,4e14f46d40953ed4867254435e69c5be,delivered,"2018-08-24 10:35:52",18.74,1.00
a83bb8ac33348c821f5d1062e6aa2027,c843eff3ad4e1a193e299cef5b757284,delivered,"2018-08-24 10:25:51",300.08,10.00
16de740155e4e909578bd90826a632c1,cafaf59bd14e7535e7b6620739ac144a,delivered,"2018-08-24 10:16:19",114.77,10.00
6a6a5e595e782a6d0de7abee5fab0b89,8f0b26345ceb1dd629eaecad15b37e45,delivered,"2018-08-24 10:11:57",157.97,1.00
9f2ff91a3b8c4c34b7847c9c68971cfd,623438e09482cf7300ffdf9b95ffd9dd,delivered,"2018-08-24 09:55:31",119.24,3.00
8681c22dbe2b9bc1d6a1c524d4ee4c4e,bda36a72c98054f5967c8fcf6aeeb910,delivered,"2018-08-24 09:45:52",80.56,1.00
67f693e898f3412e68ecfa0035a3b0e2,67293e4e7a70200b4c6cea94ca955442,delivered,"2018-08-24 09:41:37",40.38,1.00
3bcd900ad6c00ba28359abcf765cc05d,accf3dbff23b624e0762877b205f6fd3,delivered,"2018-08-24 09:33:39",27.30,1.00
cda2c731fd39437d135fe728fadd2c52,e83ceb64f743ada930f35b717aadf2eb,delivered,"2018-08-24 09:26:31",151.83,3.00
124223dc899eca6ac54187a54f1e3632,08ea393f29fd8d854b91ce3a902bb5a0,delivered,"2018-08-24 09:20:03",106.95,1.00
c7e9244a9fdf9ae33fd94f55e7e24741,c2b203e77ebb1bf1333bee2146999f3d,delivered,"2018-08-24 09:18:20",264.33,1.00
47501eba9eeaaa3c12fa168efce7aae3,886372b4fafa82404226c837b1265e4e,delivered,"2018-08-24 09:17:45",143.10,3.00
6fbb3d20bfc2d3afdc6478057599ea2c,c724f10c7dca7eb6d7ed63582413adc8,delivered,"2018-08-24 09:09:41",86.54,1.00
f774c1e75cb8cc6d1d8a30c56d16bcda,ad431c9c10552fa9a09d9c42bbb4c49d,delivered,"2018-08-24 09:09:11",143.10,1.00
f358900ce6c3997929cb9758ae638a16,0c9e8b5af54bf6151ad92274c63bb913,delivered,"2018-08-24 08:45:38",119.42,2.00
591ab3b2136169cbcc8f86900519151c,ead486b9b0298af5652eef24ee57fb24,delivered,"2018-08-24 08:34:16",157.30,7.00
0fbfabe0eab1da587d8cb38f67efa0dd,0bbd5833a02f8f7aae1c7692bfe25320,delivered,"2018-08-24 07:20:47",155.93,2.00
bc2680eb1e2605a68aef195cce2acbe9,010c5ccfc9a9135b8c89e2d66f5fb8f5,delivered,"2018-08-24 02:24:29",67.36,6.00
f4544b707c2c9583440b3ea50b0fc3a6,d370d6f041fae5a0479e426d477fa3f5,delivered,"2018-08-24 02:13:16",116.38,7.00
94d2360b6b3afaf6e51fee341b108392,c082bf0b958a8cb21350485333323e64,delivered,"2018-08-24 01:02:58",38.96,1.00
b456e477126924f8c462be6fbbbbfa73,3df717700f83980dfdb3a25669e895c1,delivered,"2018-08-24 00:51:35",62.65,6.00
3a94d54e3301d9e4da748ee3766e0585,b470a81d390fcf882cf81afe227a8d6f,delivered,"2018-08-24 00:35:51",77.59,7.00
809d874fcf0f3327664fd7eefe923676,0c1ef04b363af81d555ce9ba603b02f3,delivered,"2018-08-24 00:07:22",69.09,3.00
7ecd3c8715462334ddba2f8da3988873,c8f8de9bca7ad3bca4a27578b5f210b3,delivered,"2018-08-24 00:01:48",210.14,1.00
