customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
ad766430832b4c11e38df28f91eaeafa,68,1,6.00,1,1,1,111
f53d847d49d33538c9a0d17251ceb68a,68,1,6.00,1,1,1,111
3983d70881f360f71bbfb1950bdb65d4,68,1,6.00,1,1,1,111
397017a63f9c38e08a205d660a5d3019,68,1,6.00,1,1,1,111
532fdcdb06e4266608a798f54fd35d8c,68,1,6.00,1,1,1,111
cb8a48f552b6dfba01c3362d4eec7e79,68,1,6.00,1,1,1,111
d0b3390ea758fc3db8a00af6c26e5478,68,1,6.00,1,1,1,111
a136639d058fc587dedd283a287474cf,67,1,6.00,1,1,1,111
b2a10ac7df4d1c125611afeef752d1ae,67,1,6.00,1,1,1,111
4da2181b308c5af16e4c18483cea5b48,63,1,6.00,1,1,1,111
46e24d281c87ae678aec81915907dd78,63,1,6.00,1,1,1,111
45c327d8b3ca237bfa0e0f6e77de9fb7,63,1,6.00,1,1,1,111
e8075d0d19d526b4c51dde1ed84582eb,62,1,6.00,1,1,1,111
c1bafa3c38991f0773f366084b98bcd7,62,1,6.00,1,1,1,111
ba25a2f9e943b71837db565f2a3de188,62,1,6.00,1,1,1,111
7824587a052b69872336fa8ab9c7d96c,62,1,6.00,1,1,1,111
4fd113823bb24c496078c6f937487fa9,62,1,6.00,1,1,1,111
0b4ea0237786c5d1c034ebb2f27ccbd7,62,1,6.00,1,1,1,111
2643858438fea5b8d93a717648816662,61,1,6.00,1,1,1,111
25325d558a8e0d36fcd5e3b6a8b80eb6,61,1,6.00,1,1,1,111
0f113dd39658562f828e51410f67de15,61,1,6.00,1,1,1,111
c165394e5a00db758059fc4f6c6895bc,61,1,6.00,1,1,1,111
cd7cfb30414777d6586f1ccb79cc1cb5,61,1,6.00,1,1,1,111
cbfdc22c0c1294be63e5a4d62eb96193,61,1,6.00,1,1,1,111
d0b9a20f4efe329f146c1954fb3fb019,61,1,6.00,1,1,1,111
f3acfa3a10c4193bdf295af387d6db87,61,1,6.00,1,1,1,111
eb5eff354c6b7726ab464ec04c97b12a,61,1,6.00,1,1,1,111
61bf8e4656ece5791021786c756f1894,61,1,6.00,1,1,1,111
68667861acbf4ec0e980b6a3933d489c,61,1,6.00,1,1,1,111
